Move,Depth,Value,Alpha,Beta
E7,3,9,54,5010
F12,2,54,54,5010
E8,3,14,54,5010
F12,2,54,54,5010
E10,3,9,54,5010
F12,2,54,54,5010
E11,3,4,54,5010
F12,2,54,54,5010
E12,3,4,54,5010
F12,2,54,54,5010
E13,3,4,54,5010
F12,2,54,54,5010
F7,3,504,54,5010
F12,2,504,504,5010
F8,3,9,504,5010
F12,2,504,504,5010
F10,3,24,504,5010
F12,2,504,504,5010
F11,3,10,504,5010
F12,2,504,504,5010
F13,3,5,504,5010
F12,2,504,504,5010
G7,3,54,504,5010
F12,2,504,504,5010
G13,3,5,504,5010
F12,2,504,504,5010
H5,3,4,504,5010
F12,2,504,504,5010
H6,3,54,504,5010
